"","MUNICIPIO","iteracion","ranking"
"837","Tepeapulco","km,20",5
"838","Tepeapulco","km,22",5
"839","Tepeapulco","km,24",3
"840","Tepeapulco","km,26",3
"841","Tepehuacan","Km,0",63
"842","Tepehuacan","Km,2",78
"843","Tepehuacan","Km,4",81
"844","Tepehuacan","Km,6",81
"845","Tepehuacan","Km,8",81
"846","Tepehuacan","km,10",80
"847","Tepehuacan","km,12",80
"848","Tepehuacan","km,14",80
"849","Tepehuacan","km,16",80
"850","Tepehuacan","km,18",80
"851","Tepehuacan","km,20",80
"852","Tepehuacan","km,22",80
"853","Tepehuacan","km,24",80
"854","Tepehuacan","km,26",80
"855","Tepeji Del Rio De Ocampo","Km,0",3
"856","Tepeji Del Rio De Ocampo","Km,2",3
"857","Tepeji Del Rio De Ocampo","Km,4",2
"858","Tepeji Del Rio De Ocampo","Km,6",1
"859","Tepeji Del Rio De Ocampo","Km,8",1
"860","Tepeji Del Rio De Ocampo","km,10",1
"861","Tepeji Del Rio De Ocampo","km,12",1
"862","Tepeji Del Rio De Ocampo","km,14",1
"863","Tepeji Del Rio De Ocampo","km,16",1
"864","Tepeji Del Rio De Ocampo","km,18",1
"865","Tepeji Del Rio De Ocampo","km,20",1
"866","Tepeji Del Rio De Ocampo","km,22",1
"867","Tepeji Del Rio De Ocampo","km,24",1
"868","Tepeji Del Rio De Ocampo","km,26",1
"869","Tepetitlan","Km,0",51
"870","Tepetitlan","Km,2",58
"871","Tepetitlan","Km,4",56
"872","Tepetitlan","Km,6",55
"873","Tepetitlan","Km,8",55
"874","Tepetitlan","km,10",53
"875","Tepetitlan","km,12",53
"876","Tepetitlan","km,14",53
"877","Tepetitlan","km,16",52
"878","Tepetitlan","km,18",52
"879","Tepetitlan","km,20",52
"880","Tepetitlan","km,22",52
"881","Tepetitlan","km,24",52
"882","Tepetitlan","km,26",52
"883","Tetepango","Km,0",41
"884","Tetepango","Km,2",50
"885","Tetepango","Km,4",49
"886","Tetepango","Km,6",47
"887","Tetepango","Km,8",47
"888","Tetepango","km,10",47
"889","Tetepango","km,12",47
"890","Tetepango","km,14",47
"891","Tetepango","km,16",47
"892","Tetepango","km,18",46
"893","Tetepango","km,20",46
"894","Tetepango","km,22",46
"895","Tetepango","km,24",46
"896","Tetepango","km,26",46
"897","Villa De Tezontepec","Km,0",42
"898","Villa De Tezontepec","Km,2",23
"899","Villa De Tezontepec","Km,4",24
"900","Villa De Tezontepec","Km,6",26
"901","Villa De Tezontepec","Km,8",28
"902","Villa De Tezontepec","km,10",28
"903","Villa De Tezontepec","km,12",28
"904","Villa De Tezontepec","km,14",28
"905","Villa De Tezontepec","km,16",28
"906","Villa De Tezontepec","km,18",28
"907","Villa De Tezontepec","km,20",28
"908","Villa De Tezontepec","km,22",28
"909","Villa De Tezontepec","km,24",28
"910","Villa De Tezontepec","km,26",28
"911","Tezontepec De Aldama","Km,0",27
"912","Tezontepec De Aldama","Km,2",48
"913","Tezontepec De Aldama","Km,4",43
"914","Tezontepec De Aldama","Km,6",40
"915","Tezontepec De Aldama","Km,8",40
"916","Tezontepec De Aldama","km,10",39
"917","Tezontepec De Aldama","km,12",39
"918","Tezontepec De Aldama","km,14",38
"919","Tezontepec De Aldama","km,16",38
"920","Tezontepec De Aldama","km,18",37
"921","Tezontepec De Aldama","km,20",37
"922","Tezontepec De Aldama","km,22",37
"923","Tezontepec De Aldama","km,24",37
"924","Tezontepec De Aldama","km,26",37
"925","Tianguistengo","Km,0",64
"926","Tianguistengo","Km,2",75
"927","Tianguistengo","Km,4",73
"928","Tianguistengo","Km,6",72
"929","Tianguistengo","Km,8",72
"930","Tianguistengo","km,10",72
"931","Tianguistengo","km,12",72
"932","Tianguistengo","km,14",72
"933","Tianguistengo","km,16",72
"934","Tianguistengo","km,18",72
"935","Tianguistengo","km,20",72
"936","Tianguistengo","km,22",72
"937","Tianguistengo","km,24",72
"938","Tianguistengo","km,26",72
"939","Tizayuca","Km,0",2
"940","Tizayuca","Km,2",1
"941","Tizayuca","Km,4",1
"942","Tizayuca","Km,6",2
"943","Tizayuca","Km,8",2
"944","Tizayuca","km,10",3
"945","Tizayuca","km,12",3
"946","Tizayuca","km,14",3
"947","Tizayuca","km,16",3
"948","Tizayuca","km,18",3
"949","Tizayuca","km,20",3
"950","Tizayuca","km,22",3
"951","Tizayuca","km,24",4
"952","Tizayuca","km,26",4
"953","Tlahuelilpan","Km,0",43
"954","Tlahuelilpan","Km,2",10
"955","Tlahuelilpan","Km,4",7
"956","Tlahuelilpan","Km,6",7
"957","Tlahuelilpan","Km,8",7
"958","Tlahuelilpan","km,10",10
"959","Tlahuelilpan","km,12",10
"960","Tlahuelilpan","km,14",10
"961","Tlahuelilpan","km,16",10
"962","Tlahuelilpan","km,18",10
"963","Tlahuelilpan","km,20",10
"964","Tlahuelilpan","km,22",10
"965","Tlahuelilpan","km,24",10
"966","Tlahuelilpan","km,26",10
"967","Tlahuiltepa","Km,0",65
"968","Tlahuiltepa","Km,2",73
"969","Tlahuiltepa","Km,4",74
"970","Tlahuiltepa","Km,6",73
"971","Tlahuiltepa","Km,8",73
"972","Tlahuiltepa","km,10",73
"973","Tlahuiltepa","km,12",73
"974","Tlahuiltepa","km,14",73
"975","Tlahuiltepa","km,16",73
"976","Tlahuiltepa","km,18",73
"977","Tlahuiltepa","km,20",73
"978","Tlahuiltepa","km,22",73
"979","Tlahuiltepa","km,24",73
"980","Tlahuiltepa","km,26",73
"981","Tlanalapa","Km,0",44
"982","Tlanalapa","Km,2",19
"983","Tlanalapa","Km,4",21
"984","Tlanalapa","Km,6",22
"985","Tlanalapa","Km,8",22
"986","Tlanalapa","km,10",24
"987","Tlanalapa","km,12",25
"988","Tlanalapa","km,14",26
"989","Tlanalapa","km,16",26
"990","Tlanalapa","km,18",27
"991","Tlanalapa","km,20",27
"992","Tlanalapa","km,22",27
"993","Tlanalapa","km,24",27
"994","Tlanalapa","km,26",27
"995","Tlanchinol","Km,0",52
"996","Tlanchinol","Km,2",70
"997","Tlanchinol","Km,4",69
"998","Tlanchinol","Km,6",69
"999","Tlanchinol","Km,8",69
"1000","Tlanchinol","km,10",69
"1001","Tlanchinol","km,12",69
"1002","Tlanchinol","km,14",69
"1003","Tlanchinol","km,16",69
"1004","Tlanchinol","km,18",69
"1005","Tlanchinol","km,20",69
"1006","Tlanchinol","km,22",69
"1007","Tlanchinol","km,24",69
"1008","Tlanchinol","km,26",69
"1009","Tlaxcoapan","Km,0",29
"1010","Tlaxcoapan","Km,2",38
"1011","Tlaxcoapan","Km,4",37
"1012","Tlaxcoapan","Km,6",38
"1013","Tlaxcoapan","Km,8",38
"1014","Tlaxcoapan","km,10",37
"1015","Tlaxcoapan","km,12",37
"1016","Tlaxcoapan","km,14",37
"1017","Tlaxcoapan","km,16",37
"1018","Tlaxcoapan","km,18",38
"1019","Tlaxcoapan","km,20",38
"1020","Tlaxcoapan","km,22",38
"1021","Tlaxcoapan","km,24",38
"1022","Tlaxcoapan","km,26",38
"1023","Tolcayuca","Km,0",19
"1024","Tolcayuca","Km,2",14
"1025","Tolcayuca","Km,4",13
"1026","Tolcayuca","Km,6",12
"1027","Tolcayuca","Km,8",12
"1028","Tolcayuca","km,10",9
"1029","Tolcayuca","km,12",8
"1030","Tolcayuca","km,14",8
"1031","Tolcayuca","km,16",8
"1032","Tolcayuca","km,18",8
"1033","Tolcayuca","km,20",8
"1034","Tolcayuca","km,22",9
"1035","Tolcayuca","km,24",9
"1036","Tolcayuca","km,26",9
"1037","Tula De Allende","Km,0",9
"1038","Tula De Allende","Km,2",6
"1039","Tula De Allende","Km,4",6
"1040","Tula De Allende","Km,6",6
"1041","Tula De Allende","Km,8",6
"1042","Tula De Allende","km,10",6
"1043","Tula De Allende","km,12",7
"1044","Tula De Allende","km,14",7
"1045","Tula De Allende","km,16",7
"1046","Tula De Allende","km,18",7
"1047","Tula De Allende","km,20",7
"1048","Tula De Allende","km,22",7
"1049","Tula De Allende","km,24",7
"1050","Tula De Allende","km,26",7
"1051","Tulancingo De Bravo","Km,0",6
"1052","Tulancingo De Bravo","Km,2",9
"1053","Tulancingo De Bravo","Km,4",12
"1054","Tulancingo De Bravo","Km,6",13
"1055","Tulancingo De Bravo","Km,8",13
"1056","Tulancingo De Bravo","km,10",13
"1057","Tulancingo De Bravo","km,12",13
"1058","Tulancingo De Bravo","km,14",13
"1059","Tulancingo De Bravo","km,16",13
"1060","Tulancingo De Bravo","km,18",13
"1061","Tulancingo De Bravo","km,20",13
"1062","Tulancingo De Bravo","km,22",13
"1063","Tulancingo De Bravo","km,24",13
"1064","Tulancingo De Bravo","km,26",13
"1065","Xochiatipan","Km,0",79
"1066","Xochiatipan","Km,2",82
"1067","Xochiatipan","Km,4",79
"1068","Xochiatipan","Km,6",79
"1069","Xochiatipan","Km,8",78
"1070","Xochiatipan","km,10",78
"1071","Xochiatipan","km,12",78
"1072","Xochiatipan","km,14",78
"1073","Xochiatipan","km,16",78
"1074","Xochiatipan","km,18",78
"1075","Xochiatipan","km,20",78
"1076","Xochiatipan","km,22",78
"1077","Xochiatipan","km,24",78
"1078","Xochiatipan","km,26",78
"1079","Xochicoatlan","Km,0",53
"1080","Xochicoatlan","Km,2",77
"1081","Xochicoatlan","Km,4",77
"1082","Xochicoatlan","Km,6",76
"1083","Xochicoatlan","Km,8",76
"1084","Xochicoatlan","km,10",76
"1085","Xochicoatlan","km,12",76
"1086","Xochicoatlan","km,14",76
"1087","Xochicoatlan","km,16",76
"1088","Xochicoatlan","km,18",76
"1089","Xochicoatlan","km,20",76
"1090","Xochicoatlan","km,22",76
"1091","Xochicoatlan","km,24",76
"1092","Xochicoatlan","km,26",76
"1093","Yahualica","Km,0",70
"1094","Yahualica","Km,2",51
"1095","Yahualica","Km,4",53
"1096","Yahualica","Km,6",56
"1097","Yahualica","Km,8",57
"1098","Yahualica","km,10",57
"1099","Yahualica","km,12",57
"1100","Yahualica","km,14",57
"1101","Yahualica","km,16",57
"1102","Yahualica","km,18",57
"1103","Yahualica","km,20",57
"1104","Yahualica","km,22",57
"1105","Yahualica","km,24",57
"1106","Yahualica","km,26",57
"1107","Zacualtipan","Km,0",54
"1108","Zacualtipan","Km,2",31
"1109","Zacualtipan","Km,4",34
"1110","Zacualtipan","Km,6",36
"1111","Zacualtipan","Km,8",36
"1112","Zacualtipan","km,10",36
"1113","Zacualtipan","km,12",36
"1114","Zacualtipan","km,14",36
"1115","Zacualtipan","km,16",36
"1116","Zacualtipan","km,18",36
"1117","Zacualtipan","km,20",36
"1118","Zacualtipan","km,22",36
"1119","Zacualtipan","km,24",36
"1120","Zacualtipan","km,26",36
"1121","Zapotlan","Km,0",38
"1122","Zapotlan","Km,2",37
"1123","Zapotlan","Km,4",33
"1124","Zapotlan","Km,6",31
"1125","Zapotlan","Km,8",31
"1126","Zapotlan","km,10",31
"1127","Zapotlan","km,12",31
"1128","Zapotlan","km,14",31
"1129","Zapotlan","km,16",31
"1130","Zapotlan","km,18",30
"1131","Zapotlan","km,20",30
"1132","Zapotlan","km,22",30
"1133","Zapotlan","km,24",30
"1134","Zapotlan","km,26",30
"1135","Zempoala","Km,0",21
"1136","Zempoala","Km,2",32
"1137","Zempoala","Km,4",32
"1138","Zempoala","Km,6",33
"1139","Zempoala","Km,8",32
"1140","Zempoala","km,10",32
"1141","Zempoala","km,12",32
"1142","Zempoala","km,14",32
"1143","Zempoala","km,16",32
"1144","Zempoala","km,18",32
"1145","Zempoala","km,20",33
"1146","Zempoala","km,22",33
"1147","Zempoala","km,24",34
"1148","Zempoala","km,26",34
"1149","Zimapan","Km,0",45
"1150","Zimapan","Km,2",65
"1151","Zimapan","Km,4",75
"1152","Zimapan","Km,6",77
"1153","Zimapan","Km,8",80
"1154","Zimapan","km,10",81
"1155","Zimapan","km,12",81
"1156","Zimapan","km,14",81
"1157","Zimapan","km,16",82
"1158","Zimapan","km,18",82
"1159","Zimapan","km,20",82
"1160","Zimapan","km,22",82
"1161","Zimapan","km,24",82
"1162","Zimapan","km,26",82
