"","MUNICIPIO","iteracion","ranking"
"172","Atotonilco De Tula","Km,6",8
"173","Atotonilco De Tula","Km,8",9
"174","Atotonilco De Tula","km,10",8
"175","Atotonilco De Tula","km,12",9
"176","Atotonilco De Tula","km,14",9
"177","Atotonilco De Tula","km,16",9
"178","Atotonilco De Tula","km,18",9
"179","Atotonilco De Tula","km,20",9
"180","Atotonilco De Tula","km,22",8
"181","Atotonilco De Tula","km,24",8
"182","Atotonilco De Tula","km,26",8
"183","Calnali","Km,0",46
"184","Calnali","Km,2",68
"185","Calnali","Km,4",67
"186","Calnali","Km,6",67
"187","Calnali","Km,8",67
"188","Calnali","km,10",67
"189","Calnali","km,12",67
"190","Calnali","km,14",67
"191","Calnali","km,16",67
"192","Calnali","km,18",67
"193","Calnali","km,20",67
"194","Calnali","km,22",67
"195","Calnali","km,24",67
"196","Calnali","km,26",67
"197","Cardonal","Km,0",56
"198","Cardonal","Km,2",35
"199","Cardonal","Km,4",35
"200","Cardonal","Km,6",34
"201","Cardonal","Km,8",34
"202","Cardonal","km,10",34
"203","Cardonal","km,12",34
"204","Cardonal","km,14",35
"205","Cardonal","km,16",35
"206","Cardonal","km,18",34
"207","Cardonal","km,20",34
"208","Cardonal","km,22",34
"209","Cardonal","km,24",33
"210","Cardonal","km,26",33
"211","Cuautepec","Km,0",15
"212","Cuautepec","Km,2",29
"213","Cuautepec","Km,4",29
"214","Cuautepec","Km,6",28
"215","Cuautepec","Km,8",27
"216","Cuautepec","km,10",26
"217","Cuautepec","km,12",26
"218","Cuautepec","km,14",25
"219","Cuautepec","km,16",24
"220","Cuautepec","km,18",24
"221","Cuautepec","km,20",24
"222","Cuautepec","km,22",23
"223","Cuautepec","km,24",24
"224","Cuautepec","km,26",24
"225","Chapantongo","Km,0",72
"226","Chapantongo","Km,2",20
"227","Chapantongo","Km,4",23
"228","Chapantongo","Km,6",23
"229","Chapantongo","Km,8",25
"230","Chapantongo","km,10",25
"231","Chapantongo","km,12",24
"232","Chapantongo","km,14",24
"233","Chapantongo","km,16",25
"234","Chapantongo","km,18",25
"235","Chapantongo","km,20",25
"236","Chapantongo","km,22",24
"237","Chapantongo","km,24",23
"238","Chapantongo","km,26",23
"239","Chapulhuacan","Km,0",57
"240","Chapulhuacan","Km,2",64
"241","Chapulhuacan","Km,4",70
"242","Chapulhuacan","Km,6",70
"243","Chapulhuacan","Km,8",70
"244","Chapulhuacan","km,10",71
"245","Chapulhuacan","km,12",71
"246","Chapulhuacan","km,14",71
"247","Chapulhuacan","km,16",71
"248","Chapulhuacan","km,18",71
"249","Chapulhuacan","km,20",71
"250","Chapulhuacan","km,22",71
"251","Chapulhuacan","km,24",71
"252","Chapulhuacan","km,26",71
"253","Chilcuautla","Km,0",33
"254","Chilcuautla","Km,2",57
"255","Chilcuautla","Km,4",55
"256","Chilcuautla","Km,6",54
"257","Chilcuautla","Km,8",53
"258","Chilcuautla","km,10",52
"259","Chilcuautla","km,12",51
"260","Chilcuautla","km,14",51
"261","Chilcuautla","km,16",51
"262","Chilcuautla","km,18",51
"263","Chilcuautla","km,20",51
"264","Chilcuautla","km,22",51
"265","Chilcuautla","km,24",51
"266","Chilcuautla","km,26",51
"267","Eloxochitlan","Km,0",47
"268","Eloxochitlan","Km,2",71
"269","Eloxochitlan","Km,4",71
"270","Eloxochitlan","Km,6",71
"271","Eloxochitlan","Km,8",71
"272","Eloxochitlan","km,10",70
"273","Eloxochitlan","km,12",70
"274","Eloxochitlan","km,14",70
"275","Eloxochitlan","km,16",70
"276","Eloxochitlan","km,18",70
"277","Eloxochitlan","km,20",70
"278","Eloxochitlan","km,22",70
"279","Eloxochitlan","km,24",70
"280","Eloxochitlan","km,26",70
"281","Emiliano Zapata","Km,0",39
"282","Emiliano Zapata","Km,2",22
"283","Emiliano Zapata","Km,4",16
"284","Emiliano Zapata","Km,6",15
"285","Emiliano Zapata","Km,8",16
"286","Emiliano Zapata","km,10",17
"287","Emiliano Zapata","km,12",17
"288","Emiliano Zapata","km,14",17
"289","Emiliano Zapata","km,16",17
"290","Emiliano Zapata","km,18",17
"291","Emiliano Zapata","km,20",18
"292","Emiliano Zapata","km,22",18
"293","Emiliano Zapata","km,24",18
"294","Emiliano Zapata","km,26",18
"295","Epazoyucan","Km,0",67
"296","Epazoyucan","Km,2",33
"297","Epazoyucan","Km,4",30
"298","Epazoyucan","Km,6",30
"299","Epazoyucan","Km,8",30
"300","Epazoyucan","km,10",30
"301","Epazoyucan","km,12",30
"302","Epazoyucan","km,14",30
"303","Epazoyucan","km,16",30
"304","Epazoyucan","km,18",31
"305","Epazoyucan","km,20",31
"306","Epazoyucan","km,22",31
"307","Epazoyucan","km,24",31
"308","Epazoyucan","km,26",31
"309","Francisco I.Madero","Km,0",34
"310","Francisco I.Madero","Km,2",49
"311","Francisco I.Madero","Km,4",46
"312","Francisco I.Madero","Km,6",45
"313","Francisco I.Madero","Km,8",45
"314","Francisco I.Madero","km,10",45
"315","Francisco I.Madero","km,12",44
"316","Francisco I.Madero","km,14",44
"317","Francisco I.Madero","km,16",44
"318","Francisco I.Madero","km,18",44
"319","Francisco I.Madero","km,20",44
"320","Francisco I.Madero","km,22",44
"321","Francisco I.Madero","km,24",44
"322","Francisco I.Madero","km,26",44
"323","Huasca","Km,0",58
"324","Huasca","Km,2",59
"325","Huasca","Km,4",61
"326","Huasca","Km,6",61
"327","Huasca","Km,8",61
"328","Huasca","km,10",60
"329","Huasca","km,12",60
"330","Huasca","km,14",60
"331","Huasca","km,16",60
"332","Huasca","km,18",61
"333","Huasca","km,20",61
"334","Huasca","km,22",61
"335","Huasca","km,24",61
"336","Huasca","km,26",61
"337","Huautla","Km,0",48
"338","Huautla","Km,2",61
"339","Huautla","Km,4",59
"340","Huautla","Km,6",59
"341","Huautla","Km,8",60
"342","Huautla","km,10",63
"343","Huautla","km,12",63
"344","Huautla","km,14",63
"345","Huautla","km,16",63
"346","Huautla","km,18",65
"347","Huautla","km,20",65
"348","Huautla","km,22",65
"349","Huautla","km,24",65
"350","Huautla","km,26",65
"351","Huazalingo","Km,0",73
"352","Huazalingo","Km,2",81
"353","Huazalingo","Km,4",78
"354","Huazalingo","Km,6",78
"355","Huazalingo","Km,8",77
"356","Huazalingo","km,10",77
"357","Huazalingo","km,12",77
"358","Huazalingo","km,14",77
"359","Huazalingo","km,16",77
"360","Huazalingo","km,18",77
"361","Huazalingo","km,20",77
"362","Huazalingo","km,22",77
"363","Huazalingo","km,24",77
"364","Huazalingo","km,26",77
"365","Huehuetla","Km,0",74
"366","Huehuetla","Km,2",66
"367","Huehuetla","Km,4",63
"368","Huehuetla","Km,6",64
"369","Huehuetla","Km,8",64
"370","Huehuetla","km,10",64
"371","Huehuetla","km,12",64
"372","Huehuetla","km,14",64
"373","Huehuetla","km,16",64
"374","Huehuetla","km,18",63
"375","Huehuetla","km,20",63
"376","Huehuetla","km,22",63
"377","Huehuetla","km,24",63
"378","Huehuetla","km,26",63
"379","Huejutla","Km,0",10
"380","Huejutla","Km,2",12
"381","Huejutla","Km,4",14
"382","Huejutla","Km,6",14
"383","Huejutla","Km,8",14
"384","Huejutla","km,10",15
"385","Huejutla","km,12",15
"386","Huejutla","km,14",15
"387","Huejutla","km,16",15
"388","Huejutla","km,18",15
"389","Huejutla","km,20",15
"390","Huejutla","km,22",15
"391","Huejutla","km,24",15
"392","Huejutla","km,26",15
"393","Huichapan","Km,0",13
"394","Huichapan","Km,2",25
"395","Huichapan","Km,4",25
"396","Huichapan","Km,6",24
"397","Huichapan","Km,8",23
"398","Huichapan","km,10",23
"399","Huichapan","km,12",23
"400","Huichapan","km,14",23
"401","Huichapan","km,16",23
"402","Huichapan","km,18",23
"403","Huichapan","km,20",23
"404","Huichapan","km,22",25
"405","Huichapan","km,24",25
"406","Huichapan","km,26",25
"407","Ixmiquilpan","Km,0",17
"408","Ixmiquilpan","Km,2",39
"409","Ixmiquilpan","Km,4",41
"410","Ixmiquilpan","Km,6",41
"411","Ixmiquilpan","Km,8",41
"412","Ixmiquilpan","km,10",41
"413","Ixmiquilpan","km,12",41
